_sample_part,Unnamed: 0,국가별수출액 합계(천달러),국가별수입액 합계(천달러),합계(천달러),_review_mark,_columns_to_check,_review_question,_my_interpretation
head,2014-01-29,45559632.0,44746013.0,348393811.0,?,"날짜 컬럼, 수출/수입/외환보유액 관련 컬럼",수입수출외환보유 자료는 최종 모델 직접 입력보다 대외건전성 참고 후보군으로만 두는 것이 적절할까요?,대외건전성 설명에는 도움이 되지만 최종 전략에 넣으면 설명 변수가 많아질 수 있습니다.
head,2014-02-28,42911735.0,42061554.0,351791760.0,,,,
head,2014-03-31,49064392.0,45558675.0,354341349.0,,,,
head,2014-04-30,50267448.0,45873333.0,355845420.0,,,,
head,2014-05-30,47577183.0,42607483.0,360912745.0,,,,
head,2014-06-30,47827709.0,42476381.0,366545511.0,,,,
head,2014-07-31,48204545.0,45863916.0,368026376.0,,,,
head,2014-08-29,46108370.0,42791869.0,367534108.0,,,,
head,2014-09-30,47446217.0,44184712.0,364406672.0,,,,
head,2014-10-31,51630657.0,44097421.0,363723405.0,,,,
head,2014-11-28,46605342.0,41343254.0,363095393.0,,,,
head,2014-12-30,49461377.0,43909896.0,363592748.0,,,,
head,2015-01-30,45105389.0,39283025.0,362186186.0,,,,
head,2015-02-27,41472191.0,33998316.0,362370074.0,,,,
head,2015-03-31,46822771.0,38485935.0,362750264.0,,,,
head,2015-04-30,46221931.0,37858798.0,369902086.0,,,,
head,2015-05-29,42327311.0,36039800.0,371505613.0,,,,
head,2015-06-30,46554512.0,36598398.0,374749258.0,,,,
head,2015-07-31,45695747.0,38647067.0,370822336.0,,,,
head,2015-08-31,39107399.0,34772163.0,367938017.0,,,,
head,2015-09-30,43432312.0,34540504.0,368113633.0,,,,
head,2015-10-30,43352046.0,36762975.0,369600626.0,,,,
head,2015-11-30,44285052.0,34049682.0,368463398.0,,,,
head,2015-12-30,42379843.0,35462311.0,367961865.0,,,,
head,2016-01-29,36260420.0,31321901.0,367293330.0,,,,
head,2016-02-29,35924541.0,29163323.0,365758112.0,,,,
head,2016-03-31,43002468.0,33344423.0,369839889.0,,,,
head,2016-04-29,41081553.0,32388783.0,372481509.0,,,,
head,2016-05-31,39733794.0,33025444.0,370896643.0,,,,
head,2016-06-30,45209071.0,33890231.0,369889849.0,,,,
head,2016-07-29,40881700.0,33371802.0,371383929.0,,,,
head,2016-08-31,40124791.0,35103611.0,375459420.0,,,,
head,2016-09-30,40846252.0,33988443.0,377770474.0,,,,
head,2016-10-31,41983329.0,35050112.0,375166658.0,,,,
head,2016-11-30,45309141.0,37240858.0,371985331.0,,,,
head,2016-12-29,45068880.0,38303957.0,371101605.0,,,,
head,2017-01-31,40257000.0,37645403.0,374036338.0,,,,
head,2017-02-28,43166536.0,36203282.0,373908551.0,,,,
head,2017-03-31,48637832.0,42579492.0,375302146.0,,,,
head,2017-04-28,50843799.0,37959391.0,376573253.0,,,,
tail,2023-03-31,54882484.0,59635920.0,426069328.0,,,,
tail,2023-04-28,49430879.0,51940137.0,426683640.0,,,,
tail,2023-05-31,52054195.0,54251194.0,420983378.0,,,,
tail,2023-06-30,54297754.0,53055480.0,421453923.0,,,,
tail,2023-07-31,50457776.0,48738114.0,421803807.0,,,,
tail,2023-08-31,51994074.0,51009758.0,418301093.0,,,,
tail,2023-09-27,54650691.0,50972525.0,414117817.0,,,,
tail,2023-10-31,54989950.0,53440582.0,412873624.0,,,,
tail,2023-11-30,55561090.0,51997805.0,417079898.0,,,,
tail,2023-12-28,57573193.0,53122854.0,420147908.0,,,,
tail,2024-01-31,54709823.0,54474611.0,415758762.0,,,,
tail,2024-02-29,52076390.0,48221860.0,415738489.0,,,,
tail,2024-03-29,56518309.0,52112905.0,419251325.0,,,,
tail,2024-04-30,56148299.0,54821181.0,413260138.0,,,,
tail,2024-05-31,58020557.0,53132937.0,412832077.0,,,,
tail,2024-06-28,57341634.0,49090193.0,412210543.0,,,,
tail,2024-07-31,57458788.0,53838742.0,413506683.0,,,,
tail,2024-08-30,57642924.0,54054894.0,415916439.0,,,,
tail,2024-09-30,58544693.0,52102925.0,419969772.0,,,,
tail,2024-10-31,57500192.0,54331589.0,415689646.0,,,,
tail,2024-11-29,56288629.0,50718992.0,415391699.0,,,,
tail,2024-12-30,61359250.0,54866380.0,415603777.0,,,,
tail,2025-01-31,49176984.0,51172292.0,411014873.0,,,,
tail,2025-02-28,52292301.0,48328741.0,409210148.0,,,,
tail,2025-03-31,58064562.0,53341032.0,409659446.0,,,,
tail,2025-04-30,58035745.0,53232716.0,404672319.0,,,,
tail,2025-05-30,57261063.0,50345116.0,404595704.0,,,,
tail,2025-06-30,59833797.0,50825746.0,410202961.0,,,,
tail,2025-07-31,60724322.0,54210371.0,411334711.0,,,,
tail,2025-08-29,58259332.0,51856624.0,416285737.0,,,,
tail,2025-09-30,65904118.0,56419614.0,422015555.0,,,,
tail,2025-10-31,59511578.0,53510827.0,428819095.0,,,,
tail,2025-11-28,60752618.0,51284605.0,430659280.0,,,,
tail,2025-12-30,69513624.0,57367684.0,428054608.0,,,,
tail,2026-01-30,65842410.0,57119785.0,425905754.0,,,,
tail,2026-02-27,67558449.0,51864828.0,427624953.0,,,,
tail,2026-03-31,87211190.0,60422878.0,423656488.0,,,,
tail,2026-04-30,85867478.0,62112591.0,427875470.0,,,,
tail,2026-05-29,,,426993548.0,,,,
tail,2026-06-05,,,,,,,
