Market,EventName,EventType,ExpectedHSIDirection,StartMonth,EndMonth,HSIStateLabel,Count,Share
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,강한 위험악화,13,0.5909090909090909
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,불안정 과열,4,0.18181818181818182
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,과열 후보,3,0.13636363636363635
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,고변동성 혼합구간,2,0.09090909090909091
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,과열 후보,60,0.21505376344086022
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,강한 위험악화,58,0.2078853046594982
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,고변동성 혼합구간,35,0.12544802867383512
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,중립/혼조,28,0.1003584229390681
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,불안정 과열,28,0.1003584229390681
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,회복 후보,26,0.0931899641577061
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,위험악화,24,0.08602150537634409
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,안정적 회복 후보,20,0.07168458781362007
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,강한 위험악화,54,0.4153846153846154
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,위험악화,22,0.16923076923076924
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,과열 후보,22,0.16923076923076924
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,고변동성 혼합구간,17,0.13076923076923078
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,불안정 과열,5,0.038461538461538464
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,중립/혼조,5,0.038461538461538464
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,회복 후보,4,0.03076923076923077
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,안정적 회복 후보,1,0.007692307692307693
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,강한 위험악화,13,0.5909090909090909
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,불안정 과열,4,0.18181818181818182
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,과열 후보,3,0.13636363636363635
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,고변동성 혼합구간,2,0.09090909090909091
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,위험악화,14,0.2153846153846154
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,과열 후보,11,0.16923076923076924
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,중립/혼조,8,0.12307692307692308
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,안정적 회복 후보,8,0.12307692307692308
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,고변동성 혼합구간,7,0.1076923076923077
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,강한 위험악화,7,0.1076923076923077
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,회복 후보,5,0.07692307692307693
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,불안정 과열,5,0.07692307692307693
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,강한 위험악화,6,0.46153846153846156
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,고변동성 혼합구간,4,0.3076923076923077
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,과열 후보,2,0.15384615384615385
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,불안정 과열,1,0.07692307692307693
