strategy,factor,beta,tstat,r2
HSI_baseline,market_ret,-0.0034189260442954676,-12.548730599134743,0.5634170273743956
HSI_baseline,bond_ret,0.00019053713653765516,0.590612178594773,0.5634170273743956
HSI_baseline,realized_vol,-0.0008109735387618112,-2.7322166591475456,0.5634170273743956
HSI_baseline,stock_bond_corr_6m,-0.00020930673225069826,-0.6325174336507897,0.5634170273743956
HSI_baseline,alpha,-9.67188682587361e-06,-0.020186591287334868,0.5634170273743956
lambda_0.1,market_ret,-0.0028323042421977513,-28.4252849573604,0.8683380484382343
lambda_0.1,bond_ret,5.619886571506369e-05,0.4763269443718562,0.8683380484382343
lambda_0.1,realized_vol,-0.0004921312561833443,-4.53361080774285,0.8683380484382343
lambda_0.1,stock_bond_corr_6m,-8.869894857333306e-06,-0.07329301875171147,0.8683380484382343
lambda_0.1,alpha,5.55449683911023e-05,0.3169942196502431,0.8683380484382343
lambda_0.3,market_ret,-0.0032123942354786417,-20.9148907717573,0.780980747971234
lambda_0.3,bond_ret,0.00011303238440495795,0.6215017080797571,0.780980747971234
lambda_0.3,realized_vol,-0.0006442403900830404,-3.8501094338359123,0.780980747971234
lambda_0.3,stock_bond_corr_6m,-4.6763438283571775e-05,-0.2506758011379319,0.780980747971234
lambda_0.3,alpha,0.00011204453432447159,0.4148194712842708,0.780980747971234
dynamic_v1,market_ret,-0.0028232005514633772,-25.83910085945135,0.8448348290820992
dynamic_v1,bond_ret,6.473317170971554e-05,0.5003515252975881,0.8448348290820992
dynamic_v1,realized_vol,-0.0004795714187179781,-4.028907729172642,0.8448348290820992
dynamic_v1,stock_bond_corr_6m,-8.580002921887778e-06,-0.06465502979896393,0.8448348290820992
dynamic_v1,alpha,5.11286489815517e-05,0.2660980419474534,0.8448348290820992
asym_up0.1_down0.3,market_ret,-0.004293588653479879,-32.10171205763741,0.8938287362534729
asym_up0.1_down0.3,bond_ret,6.167871343221252e-05,0.38945361643995885,0.8938287362534729
asym_up0.1_down0.3,realized_vol,-0.0006453649938846975,-4.4290596244076745,0.8938287362534729
asym_up0.1_down0.3,stock_bond_corr_6m,1.1426977688246912e-06,0.007034258973092844,0.8938287362534729
asym_up0.1_down0.3,alpha,1.1570576799386675e-05,0.049193130932153176,0.8938287362534729
asym_up0.1_down0.5,market_ret,-0.004993271675849025,-32.79172438757898,0.8981187957981731
asym_up0.1_down0.5,bond_ret,2.4121614394115656e-05,0.1337821293982343,0.8981187957981731
asym_up0.1_down0.5,realized_vol,-0.0007214196963781228,-4.348759759831343,0.8981187957981731
asym_up0.1_down0.5,stock_bond_corr_6m,-4.4321160151942e-05,-0.23964556305943616,0.8981187957981731
asym_up0.1_down0.5,alpha,2.2472019662263457e-05,0.08391949468094768,0.8981187957981731
asym_up0.2_down0.3,market_ret,-0.003635025775184949,-24.765901943667103,0.8333260490101055
asym_up0.2_down0.3,bond_ret,9.484184153453934e-05,0.5457067264496726,0.8333260490101055
asym_up0.2_down0.3,realized_vol,-0.0006535155239209495,-4.086965059091718,0.8333260490101055
asym_up0.2_down0.3,stock_bond_corr_6m,-1.3178241098224476e-05,-0.0739236354479837,0.8333260490101055
asym_up0.2_down0.3,alpha,7.997591430735569e-05,0.3098471907274439,0.8333260490101055
