strategy,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,sortino,calmar,win_rate_pct,avg_turnover_pct,max_turnover_pct,lambda_up,lambda_down,is_diagonal,region,cagr_net_0bp,cagr_net_5bp,cagr_net_10bp,cagr_net_20bp,tail_strategy_avg_pct,tail_capture_ratio,neighbor_min_calmar
up0.1_down0.1,171,8.638798542453795,11.351523784634693,-14.744180174515332,0.7865263175620656,0.7610254540581756,1.5552941368027249,0.5859124373280232,59.64912280701754,2.455393807086774,6.018832608679937,0.1,0.1,True,diagonal,8.638798542453795,8.622901104165837,8.6070057420772,8.575221245538245,-3.684708021142782,0.4396883446544766,0.556990965328603
up0.1_down0.2,171,7.58292316672009,9.35975140701968,-10.954970565937494,0.8282758227495606,0.810162881145861,1.5760999598396412,0.6921901908433987,60.81871345029239,3.59474256914419,11.52007227392,0.1,0.2,False,defensive(down>up),7.58292316672009,7.559864661560067,7.536810518626047,7.490715316539753,-2.9596521186513285,0.3531689711466805,0.5859124373280232
up0.1_down0.3,171,6.844880001046882,8.126006478341347,-8.975747640980359,0.8563421794535232,0.8423424248172684,1.5422973651801841,0.7625971980089298,62.57309941520468,4.32367301712113,16.959821575455,0.1,0.3,False,defensive(down>up),6.844880001046882,6.817322319893249,6.789770825992458,6.7346863951194935,-2.5437938714013413,0.30354549398238945,0.6697382375616906
up0.1_down0.5,171,5.7975724566782905,6.583122702179889,-7.150243006851198,0.8902559248645983,0.8806720942264259,1.45598628698409,0.8108217372644804,63.74269005847953,5.246443126124718,27.993450871875,0.1,0.5,False,defensive(down>up),5.7975724566782905,5.764436213768809,5.731308719638828,5.665079969803544,-2.04851614888433,0.24444506032300684,0.6861461159595825
up0.2_down0.1,171,9.847896995830595,13.443093955150287,-17.680532735429054,0.7649781264258259,0.7325617918528118,1.5059649855639439,0.556990965328603,59.64912280701754,3.0859063116948935,7.41974740330135,0.2,0.1,False,aggressive(up>down),9.847896995830595,9.827694804540776,9.80749592526655,9.767108100846889,-4.358389328390532,0.5200772973499904,0.5306095509431377
up0.2_down0.2,171,9.098414399101816,11.904664391528524,-14.440032937624581,0.790758924941384,0.7642730697705631,1.5068044713146063,0.6300826624429104,60.23391812865497,4.733467083729841,12.683827361015453,0.2,0.2,True,diagonal,9.098414399101816,9.067646528670226,9.036886351191221,8.975389068328665,-3.7481116141695274,0.4472541601012131,0.556990965328603
up0.2_down0.3,171,8.45234104823942,10.780435389899473,-12.620365053385296,0.8068142678812006,0.7840444975124736,1.4722023446568517,0.6697382375616906,61.40350877192983,5.915921402611861,18.431861136528806,0.2,0.3,False,defensive(down>up),8.45234104823942,8.414112044511835,8.375894907261028,8.299496219307079,-3.351718903715432,0.3999534639015158,0.5973173331757637
up0.2_down0.5,171,7.373905650920443,9.160948040715496,-10.746844555999502,0.8232166835398526,0.8049282255665451,1.3908604851506279,0.6861461159595825,62.57309941520468,7.5691518857093545,30.026044342564706,0.2,0.5,False,defensive(down>up),7.373905650920443,7.325446175794115,7.27700562259308,7.180181256438334,-2.8215545770342705,0.33669008621847246,0.590653256844784
up0.3_down0.1,171,10.28901394779198,14.319161435526793,-19.39093242762717,0.7542853887235736,0.7185486380692834,1.4702165235338536,0.5306095509431377,59.64912280701754,3.4144710362573494,10.696004832995326,0.3,0.1,False,aggressive(up>down),10.28901394779198,10.266568876861392,10.244127847144501,10.199257908799119,-4.694903427708851,0.5602328066693624,0.49556849312134166
up0.3_down0.2,171,9.68024207282292,13.079943313439141,-16.777994537218422,0.7711598239554044,0.7400828765730844,1.4528390916894391,0.5769606165593484,59.64912280701754,5.393096404510531,15.840705302106647,0.3,0.2,False,aggressive(up>down),9.68024207282292,9.645004758935215,9.60977744358733,9.539352798581579,-4.187404458438453,0.4996740377161717,0.5124590373982537
up0.3_down0.3,171,9.090997384867894,12.10191122789447,-15.219711332556995,0.7793068521339414,0.7512034432969127,1.407152230973674,0.5973173331757637,60.81871345029239,6.885562922592911,20.011915215340103,0.3,0.3,True,diagonal,9.090997384867894,9.046257052926832,9.001532865830498,8.912132905849601,-3.8327645752824684,0.457355617293554,0.5150567161065862
up0.3_down0.5,171,8.015725090792714,10.592988880172253,-13.570948772232272,0.7812364131204778,0.7567009822691676,1.301110487788836,0.590653256844784,62.57309941520468,9.061418188064824,33.257536611469256,0.3,0.5,False,defensive(down>up),8.015725090792714,7.957401457874447,7.89910519082222,7.782594709982615,-3.335331778476512,0.3979980232183999,0.4908985193673291
up0.5_down0.1,171,10.589337188845715,15.080901442410566,-21.368059785537817,0.7413276535620186,0.7021687151317323,1.4220760000307884,0.49556849312134166,59.06432748538012,3.6906559844860527,16.84469660342018,0.5,0.1,False,aggressive(up>down),10.589337188845715,10.56502093434004,10.540709276209292,10.492099746094063,-5.040904919862279,0.6015204263287721,0.5124590373982537
up0.5_down0.2,171,10.081061928004686,14.175780958855643,-19.67193705703011,0.7473496859232273,0.7111468466721068,1.3819110961204175,0.5124590373982537,59.06432748538012,6.143911232044825,25.519952699888528,0.5,0.2,False,aggressive(up>down),10.081061928004686,10.040795778055479,10.000542413519353,9.920074026699321,-4.666485909327088,0.5568418048464852,0.49556849312134166
up0.5_down0.3,171,9.583347037277967,13.438142593552962,-18.606391757630792,0.7474943294687338,0.7131452111451505,1.324315776486597,0.5150567161065862,60.23391812865497,8.062571222048858,30.44662375647331,0.5,0.3,False,aggressive(up>down),9.583347037277967,9.530769019448915,9.47821292350557,9.373166465805415,-4.386751932866493,0.5234617464136796,0.4908985193673291
up0.5_down0.5,171,8.600187457913112,12.243396875557222,-17.51927764825416,0.7348689528906788,0.7024347528162358,1.1996274993558542,0.4908985193673291,61.98830409356725,11.075619755964643,34.829866624930794,0.5,0.5,True,diagonal,8.600187457913112,8.528603548724757,8.457060441891517,8.314096555724436,-3.977783160374773,0.4746603755695148,0.5150567161065862
