method,hsi_state5,state_label,months,total_months,ratio,ratio_pct
rank,risk_relief,위험 완화 우세,47,172,0.2732558139534883,27.32558139534883
rank,neutral_watch,관찰·중립,49,172,0.2848837209302325,28.48837209302325
rank,conflict,충돌 상태,49,172,0.2848837209302325,28.48837209302325
rank,risk_warning,위험 악화 우세,21,172,0.1220930232558139,12.20930232558139
rank,accident_zone,강한 위험 악화,6,172,0.0348837209302325,3.48837209302325
zscore,risk_relief,위험 완화 우세,42,172,0.2441860465116279,24.418604651162788
zscore,neutral_watch,관찰·중립,70,172,0.4069767441860465,40.69767441860465
zscore,conflict,충돌 상태,28,172,0.1627906976744186,16.279069767441857
zscore,risk_warning,위험 악화 우세,25,172,0.1453488372093023,14.53488372093023
zscore,accident_zone,강한 위험 악화,7,172,0.0406976744186046,4.06976744186046
